"2024 Turkish local elections","2024 Turkish local elections.svg"
"Aceh labelled map","Indonesia Aceh location map.svg"
"Administrative map of the Bukhara Emirate (1916)","Buxoro amirligining maʼmuriy-hududiy boʻlinishi.svg"
"Africa Labelled Map","Blank_Map-Africa.svg"
"Albania Counties Labelled Map","Harta_Administrative_e_Shqipërisë.svg"
"Albania Labelled Map","Albania_(location_map).svg"
"Alberta LUF Map","AB Land Use Framework.svg"
"Alberta Special Areas Labelled Map","Alberta County Types.svg"
"Alps orography","Alps orographic.png"
"Amarna Image Map","Amarna map large.jpg"
"Araucanía Region Communes Map","Provincias de Araucanía.svg"
"Argentina imagemap with province names","en.png"
"Armenia Labelled Map","Armenia template.svg"
"Armenian highlands false color height map","Armenian-highlands-false-color-height-map.jpg"
"Artaani Labelled Map","Artaani monuments labeled map background.svg"
"Artsakh Provinces","Administrative_divisions_of_the_Republic_of_Artsakh_1994-2020.svg"
"ASEAN Labelled Map (blue)","ASEAN members.svg"
"Asia Labelled Map","Asia-Recoloured.png"
"Asia.png","Asie.svg"
"Athens labelled map","Map2.jpg"
"Australia Labelled Map","Australia location map recolored.png"
"Australian Capitals Labelled Map","Australia location map recolored.png"
"AustraliaRelatedPortals (large)/core","Australia locator-MJC coloured.png"
"AustraliaRelatedPortals/core","Australia locator-MJC coloured.png"
"Aysén Region Communes Map","Provincias de Aisén.svg"
"Biobío Region Communes Map","Provincias del Biobío.svg"
"Brazil Labelled Map","Brazil Labelled Map.svg"
"Brunei Labelled Map","Brunei Map (Blank).png"
"Brussels metro map","Metro Brussels (no text).svg"
"Buenos Aires Labelled Map","Map of the barrios of Buenos Aires.png"
"Bulgaria Provinces","Bulgaria Administrative Provinces.png"
"Cambodia labelled map","Cambodia adm location map.svg"
"Camp de Tarragona","Camp de Tarragona (2017).svg"
"Cantons of the Federation of Bosnia and Herzegovina on the Map","Bosnia and Herzegovina, administrative divisions - Nmbrs (cantons) - colored.svg"
"Capitoline Hill plan","Plan capitole.png"
"Catalan Countries","Paisos_catalans.svg"
"Central Java labelled map","Indonesia Central Java location map.svg"
"Central Kalimantan labelled map","Indonesia Central Kalimantan location map.svg"
"Cerebrum labelled map","Lobes of the brain NL.svg"
"Clickable map of Macedonian municipalities","Map of the municipalities of Macedonia (2013).svg"
"Clickable map of Mongolian provinces","Mongolia blank.svg"
"Clickable world map","height:720px;">[[Image:Köppen-vereinfacht.svg"
"Colombia Labelled Map","Colombia departamentos otros.svg"
"Colombia map clickable","Image:Departments_of_colombia.svg"
"Comarques Gironines","Comarques Gironines.svg"
"Cornwall Labelled Map","Cornwall map small.png"
"Counties of Ireland map Monastic","File:Ireland_trad_counties_named.svg"
"Cuba provinces labelled map","base.png"
"Danish regions","Denmark regions.svg"
"Delaware County Labelled Map","Delaware Locator Map.PNG"
"Detailed map of Brazil","Brazil Labelled Map.svg"
"Dhaka City Labelled Map","Dhaka-city1.svg"
"Districts of Malang","[[File:Seal of Malang City (Logo Kota Malang).svg"
"Dominican Republic Labelled Map","Dominican Labelled Map.PNG"
"Dongping Map","东平县地图.png"
"Downtown Dallas labelled map","Dallasmap downtown.svg"
"Dutch architecture","Nederlandse Architectuurkaart.png"
"Dutchess County, New York Map","York.svg"
"Earth Labelled Map","WorldMap.svg"
"East Germany labelled map","DDR Bezirke.png"
"El Salvador labeled map","Mapa político de la República de El Salvador (2024 con departamentos).svg"
"England Ceremonial Counties Labelled Map","text=[[File:Circle-information.svg"
"England Labelled Map","English regions 2009.svg"
"Enugu LGA map","Enugu state zones.svg"
"EUNEARSTATES","European Union without internal borders.svg"
"Europe and seas labelled map","Blank political map of Europe (polar stereographic projection) cropped.svg"
"European Union Labelled Map (blue)","European Union enlargement.gif"
"European Union Labelled Map (brown)","EU map brown.svg"
"Eurozone labelled map","Eurozone map.svg"
"Eurozone labelled map interior","Eurozone Internal.svg"
"EUWESTBALKANS","European Union Western Balkans.svg"
"France Regions Labelled Map","France base map 18 regions.png"
"France Regions Labelled Map from 2015","France fond de carte 27 régions.png"
"Frisian cities labelled map","Elfstedentocht.png"
"Galicia-Volhynia Principality","Alex K Halych-Volhynia 3 fixed.png"
"Gaza City labelled map","Gaza-quarters.svg"
"Gaza Strip labelled map","GazaStripGovernatesNonLabeled.svg"
"Geographical coordinates","Earthmap720x360 grid.jpg"
"Georgia Labelled Map","Georgia.svg"
"Germany States Labelled Map","Germany location map.svg"
"Gibraltar 1810 Northern Defences Map","1810 Gibraltar Northern Defences map.jpg"
"Gibraltar1810FortificationsMap","Plan de Gibraltar faded.jpg"
"Gibraltar1811SectorsMap","Plan de Gibraltar faded.jpg"
"Glasgow, Paisley, Kilmarnock and Ayr Railway Map","GPKAR_map.png"
"Hundreds of Lancashire map","Lancashire hundreds.svg"
"Igbo land labelled map","Igboland.png"
"Imagemap Isle of Wight","Isle of Wight UK parish map (blank).svg"
"Imagemap Malé","Male'_Maldives_map.svg"
"Imagemap Shetland","Shetland UK parish map (blank).svg"
"Imagemap Skye","Skye parish map.jpg"
"India States and Territories Labelled Map","India-locator-map-blank.svg"
"Indonesia provinces labelled map","Indonesia provinces blank map.svg"
"Infobox Teylers Museum/map","English).svg"
"Internet penetration in European countries map","Europe polar stereographic Caucasus Urals boundary3.svg"
"Israel cities labeled map","Israel labeled_occupied.png"
"Israel Geographical Map","Israel relief location map.jpg"
"Israel Labelled Map","Israel location map.svg"
"Italy Labelled Map Scalable","Italian_regions_provinces_white_no_labels.svg"
"Japan Regions and Prefectures Labelled Map","2.svg"
"JCS Labelled Map","Jerusalem Corpus Separatum (1947 map).png"
"Jericho TV series map","Blank_US_Map_48states.svg"
"Johor Labelled Map","Districts and local authorities of Johor (blank).svg"
"Jordan Labelled Map","map.svg"
"Karelian Isthmus","La2-demis-karelian-isthmus.png"
"Kasaragod Labelled Map","BlankMapKasaragodSubdistricts.svg"
